Rk,Player,WAR,Player-additional
1,Barry Bonds,162.8,bondsba01
2,Babe Ruth,162.2,ruthba01
3,Willie Mays,156.2,mayswi01
4,Ty Cobb,151.4,cobbty01
5,Henry Aaron,143.1,aaronha01
6,Tris Speaker,135.0,speaktr01
7,Honus Wagner,131.0,wagneho01
8,Stan Musial,128.5,musiast01
9,Rogers Hornsby,127.0,hornsro01
10,Eddie Collins,124.3,collied01
11,Ted Williams,121.8,willite01
12,Álex Rodríguez,117.6,rodrial01
13,Lou Gehrig,113.7,gehrilo01
14,Rickey Henderson,111.1,henderi01
15,Mel Ott,110.9,ottme01
16,Mickey Mantle,110.2,mantlmi01
17,Frank Robinson,107.2,robinfr02
18,Nap Lajoie,106.9,lajoina01
19,Mike Schmidt,106.9,schmimi01
20,Albert Pujols,101.5,pujolal01
21,Joe Morgan,100.6,morgajo02
22,Carl Yastrzemski,96.5,yastrca01
23,Eddie Mathews,95.9,matheed01
24,Cal Ripken Jr.,95.9,ripkeca01
25,Roberto Clemente,94.9,clemero01
26,Cap Anson,94.4,ansonca01
27,Adrian Beltré,93.5,beltrad01
28,Al Kaline,92.8,kalinal01
29,Jimmie Foxx,92.2,foxxji01
30,Wade Boggs,91.4,boggswa01
31,George Brett,88.6,brettge01
32,Mike Trout,86.2,troutmi01
33,Chipper Jones,85.3,jonesch06
34,George Davis,84.9,davisge01
35,Charlie Gehringer,84.7,gehrich01
36,Roger Connor,84.3,connoro01
37,Ken Griffey Jr.,83.8,griffke02
38,Rod Carew,81.2,carewro01
39,Jeff Bagwell,79.9,bagweje01
40,Dan Brouthers,79.8,broutda01
41,Pete Rose,79.5,rosepe01
42,Joe DiMaggio,79.1,dimagjo01
43,Brooks Robinson,78.5,robinbr01
44,Arky Vaughan,77.9,vaughar01
45,Robin Yount,77.4,yountro01
46,Luke Appling,77.4,applilu01
47,Ozzie Smith,76.9,smithoz01
48,Paul Molitor,75.6,molitpa01
49,Sam Crawford,75.4,crawfsa01
50,Bill Dahlen,75.3,dahlebi01
51,Johnny Bench,75.1,benchjo01
52,Lou Whitaker,75.1,whitalo01
53,Paul Waner,74.8,wanerpa01
54,Reggie Jackson,74.0,jacksre01
55,Frank Thomas,73.8,thomafr04
56,Jim Thome,73.1,thomeji01
57,Larry Walker,72.7,walkela01
58,Harry Heilmann,72.2,heilmha01
59,Rafael Palmeiro,71.9,palmera01
60,Frankie Frisch,71.8,friscfr01
61,Derek Jeter,71.3,jeterde01
62,Bobby Grich,71.1,grichbo01
63,Alan Trammell,70.6,trammal01
64,Johnny Mize,70.6,mizejo01
65,Ron Santo,70.5,santoro01
66,Barry Larkin,70.5,larkiba01
67,Bobby Wallace,70.4,wallabo01
68,Gary Carter,70.2,cartega01
69,Scott Rolen,70.1,rolensc01
70,Carlos Beltrán,70.1,beltrca01
71,Ed Delahanty,69.6,delahed01
72,Mookie Betts,69.6,bettsmo01
73,Tim Raines,69.4,raineti01
74,Manny Ramírez,69.3,ramirma02
75,Tony Gwynn,69.2,gwynnto01
76,Iván Rodríguez,68.7,rodriiv01
77,Eddie Murray,68.7,murraed02
78,Carlton Fisk,68.5,fiskca01
79,Kenny Lofton,68.4,loftoke01
