Rk,Player,WAR,Season,Player-additional
1,Babe Ruth,14.1,1923,ruthba01
2,Babe Ruth,12.8,1921,ruthba01
3,Babe Ruth,12.6,1927,ruthba01
4,Carl Yastrzemski,12.5,1967,yastrca01
5,Rogers Hornsby,12.1,1924,hornsro01
6,Lou Gehrig,11.9,1927,gehrilo01
7,Babe Ruth,11.9,1920,ruthba01
8,Barry Bonds,11.9,2001,bondsba01
9,Barry Bonds,11.8,2002,bondsba01
10,Cal Ripken Jr.,11.5,1991,ripkeca01
11,Honus Wagner,11.5,1908,wagneho01
12,Babe Ruth,11.4,1926,ruthba01
13,Babe Ruth,11.4,1924,ruthba01
14,Ty Cobb,11.3,1917,cobbty01
15,Mickey Mantle,11.3,1957,mantlmi01
16,Stan Musial,11.3,1948,musiast01
17,Willie Mays,11.2,1965,mayswi01
18,Mickey Mantle,11.2,1956,mantlmi01
19,Willie Mays,11.0,1964,mayswi01
20,Joe Morgan,11.0,1975,morgajo02
21,Rogers Hornsby,10.8,1921,hornsro01
22,Aaron Judge,10.8,2024,judgeaa01
23,Mookie Betts,10.7,2018,bettsmo01
24,Ty Cobb,10.7,1911,cobbty01
25,Barry Bonds,10.6,2004,bondsba01
26,Willie Mays,10.6,1963,mayswi01
27,Ted Williams,10.6,1946,willite01
28,Rogers Hornsby,10.6,1929,hornsro01
29,Robin Yount,10.6,1982,yountro01
30,Mike Trout,10.5,2012,troutmi01
31,Ty Cobb,10.5,1910,cobbty01
32,Aaron Judge,10.5,2022,judgeaa01
33,Babe Ruth,10.5,1931,ruthba01
34,Willie Mays,10.5,1962,mayswi01
35,Ted Williams,10.5,1942,willite01
36,Mike Trout,10.5,2016,troutmi01
37,Carl Yastrzemski,10.5,1968,yastrca01
38,Willie Mays,10.5,1954,mayswi01
39,Eddie Collins,10.5,1910,collied01
40,Mickey Mantle,10.4,1961,mantlmi01
41,Ted Williams,10.4,1941,willite01
42,Álex Rodríguez,10.4,2000,rodrial01
43,Lou Boudreau,10.4,1948,boudrlo01
44,Jimmie Foxx,10.4,1932,foxxji01
45,Sammy Sosa,10.3,2001,sosasa01
46,Babe Ruth,10.3,1930,ruthba01
47,Willie Mays,10.2,1958,mayswi01
48,Ernie Banks,10.2,1959,bankser01
49,Rogers Hornsby,10.2,1927,hornsro01
50,Rogers Hornsby,10.2,1925,hornsro01
51,Honus Wagner,10.2,1905,wagneho01
52,Al Rosen,10.2,1953,rosenal01
53,Babe Ruth,10.2,1928,ruthba01
54,Tris Speaker,10.2,1912,speaktr01
55,Rogers Hornsby,10.1,1922,hornsro01
56,Cal Ripken Jr.,10.0,1984,ripkeca01
57,Lou Gehrig,10.0,1934,gehrilo01
58,Nap Lajoie,10.0,1906,lajoina01
59,Tris Speaker,10.0,1914,speaktr01
60,Rico Petrocelli,10.0,1969,petrori01
61,Rickey Henderson,9.9,1990,henderi01
62,Barry Bonds,9.9,1993,bondsba01
63,Rogers Hornsby,9.9,1917,hornsro01
64,Mike Trout,9.9,2018,troutmi01
65,Rickey Henderson,9.9,1985,henderi01
66,Ty Cobb,9.9,1909,cobbty01
67,Larry Walker,9.8,1997,walkela01
68,Arky Vaughan,9.8,1935,vaughar01
69,Nap Lajoie,9.8,1910,lajoina01
70,Ron Santo,9.8,1967,santoro01
71,Mike Schmidt,9.8,1974,schmimi01
72,Barry Bonds,9.7,1990,bondsba01
73,Bryce Harper,9.7,2015,harpebr03
74,George Sisler,9.7,1920,sislege01
75,Albert Pujols,9.7,2009,pujolal01
76,Rod Carew,9.7,1977,carewro01
77,Ken Griffey Jr.,9.7,1996,griffke02
78,Eddie Collins,9.7,1909,collied01
79,Lou Gehrig,9.7,1936,gehrilo01
80,Ted Williams,9.7,1957,willite01
81,Barry Bonds,9.7,1996,bondsba01
82,Jackie Robinson,9.7,1951,robinja02
83,Joe Morgan,9.6,1976,morgajo02
84,Lou Gehrig,9.6,1930,gehrilo01
85,Rogers Hornsby,9.6,1920,hornsro01
86,Mike Trout,9.6,2015,troutmi01
87,Joe Jackson,9.6,1912,jacksjo01
88,Adrian Beltré,9.6,2004,beltrad01
89,Ted Williams,9.5,1947,willite01
90,Mickey Mantle,9.5,1955,mantlmi01
91,Mookie Betts,9.5,2016,bettsmo01
92,Ty Cobb,9.5,1915,cobbty01
93,Carl Yastrzemski,9.5,1970,yastrca01
94,Lou Gehrig,9.5,1928,gehrilo01
95,Willie Mays,9.5,1960,mayswi01
96,Stan Musial,9.5,1943,musiast01
97,Henry Aaron,9.4,1961,aaronha01
98,Álex Rodríguez,9.4,2007,rodrial01
99,George Brett,9.4,1980,brettge01
100,Álex Rodríguez,9.4,1996,rodrial01
101,Bobby Witt Jr.,9.4,2024,wittbo02
102,Frankie Frisch,9.4,1927,friscfr01
103,Craig Biggio,9.4,1997,biggicr01
104,Álex Rodríguez,9.4,2005,rodrial01
105,Eddie Collins,9.4,1915,collied01
106,Ernie Banks,9.3,1958,bankser01
107,Harry Heilmann,9.3,1923,heilmha01
108,Terry Turner,9.3,1906,turnete01
109,Stan Musial,9.3,1946,musiast01
