league_stats_id,yearid,TG,G,PA,HR,R,RBI,SB,BB_percent,K_percent,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC_plus,BsR,Off,Def,WAR
1,1998,4864,62317,188284,5064,23297,22081,3284,8.70%,16.90%,0.154,0.3,0.266,0.335,0.42,0.331,,96,0,-909.9,539.5,570.9
2,2000,4858,62083,190261,5693,24971,23735,2924,9.60%,16.50%,0.167,0.3,0.27,0.345,0.437,0.341,,96,0,-1012.8,538.6,570.5
3,1999,4856,61966,189692,5528,24691,23461,3421,9.40%,16.40%,0.163,0.302,0.271,0.345,0.434,0.341,,96,0,-948.1,547.7,570.4
4,2018,4862,71590,185139,5585,21630,20606,2474,8.50%,22.30%,0.161,0.296,0.248,0.318,0.409,0.315,,97,-1.6,-783.9,332.1,570.2
5,2013,4862,69267,184872,4661,20255,19271,2693,7.90%,19.90%,0.143,0.297,0.253,0.318,0.396,0.314,,96,-1,-747.2,268.9,570.2
6,2007,4862,70143,188623,4957,23322,22257,2918,8.50%,17.10%,0.155,0.303,0.268,0.336,0.423,0.331,,97,0.9,-846.1,323.7,570.2
7,2005,4862,68432,186294,5017,22326,21248,2565,8.20%,16.40%,0.154,0.295,0.264,0.33,0.419,0.326,,96,0.1,-834.6,349.3,570.2
8,2022,4860,70911,182052,5215,20817,19888,2486,8.20%,22.40%,0.152,0.29,0.243,0.312,0.395,0.31,,100,-2,14.6,-596.6,570
9,2009,4860,69035,187079,5042,22419,21364,2970,8.90%,18.00%,0.155,0.299,0.262,0.333,0.418,0.329,,96,1.9,-871.1,386.8,570
10,2023,4860,71144,184104,5868,22432,21512,3503,8.60%,22.70%,0.166,0.297,0.248,0.32,0.414,0.318,,100,5.5,23.6,-597.1,570
11,2012,4860,69521,184179,4934,21017,19998,3229,8.00%,19.80%,0.151,0.297,0.255,0.319,0.405,0.315,,96,1,-814.9,370.4,570
12,2014,4860,69565,183928,4186,19761,18745,2764,7.60%,20.40%,0.135,0.299,0.251,0.314,0.386,0.31,,96,0.4,-759.7,277.7,570
13,2010,4860,68923,185553,4613,21308,20288,2959,8.50%,18.50%,0.145,0.297,0.257,0.325,0.403,0.321,,96,-0.7,-845.2,299.5,570
14,2017,4860,70745,185295,6105,22582,21558,2527,8.50%,21.60%,0.171,0.3,0.255,0.324,0.426,0.321,,96,-6.4,-858.9,338.8,570
15,2003,4860,68519,187449,5207,22978,21886,2573,8.50%,16.40%,0.158,0.294,0.264,0.333,0.422,0.328,,96,-0.2,-895,386.9,570
16,2001,4858,61371,186976,5458,23199,22088,3103,8.50%,17.30%,0.163,0.296,0.264,0.332,0.427,0.327,,96,0.4,-935.1,469.1,570
17,2024,4858,71274,182449,5453,21343,20379,3617,8.20%,22.60%,0.156,0.291,0.243,0.312,0.399,0.31,,100,1.8,19.8,-581.6,569.8
18,2021,4858,71621,181817,5944,22010,20993,2213,8.70%,23.20%,0.167,0.292,0.244,0.317,0.411,0.314,,97,-2.8,-768.3,286.4,569.8
19,2019,4858,71684,186516,6776,23467,22471,2280,8.50%,23.00%,0.183,0.298,0.252,0.323,0.435,0.32,,97,-5.3,-823.1,341.7,569.8
20,2011,4858,68729,185245,4552,20808,19804,3279,8.10%,18.60%,0.144,0.295,0.255,0.321,0.399,0.316,,96,1.1,-759.8,278.6,569.8
21,2015,4858,70535,183627,4909,20647,19650,2505,7.70%,20.40%,0.15,0.299,0.254,0.317,0.405,0.313,,97,-0.7,-751.2,282.7,569.8
22,2006,4858,69333,188071,5386,23599,22491,2767,8.40%,16.80%,0.163,0.301,0.269,0.337,0.432,0.332,,96,-0.3,-935.6,437.3,569.8
23,2008,4856,69564,187631,4878,22585,21541,2799,8.70%,17.50%,0.152,0.3,0.264,0.333,0.416,0.328,,96,0,-864,337.9,569.5
24,2004,4856,68880,188539,5451,23376,22248,2589,8.60%,16.90%,0.162,0.297,0.266,0.335,0.428,0.33,,96,0.3,-928.9,385.2,569.5
25,2016,4856,70449,184577,5610,21744,20746,2537,8.20%,21.10%,0.162,0.3,0.255,0.322,0.417,0.318,,97,-5.2,-775.6,286.2,569.5
26,2002,4852,68340,186615,5059,22408,21332,2750,8.70%,16.80%,0.155,0.293,0.261,0.331,0.417,0.326,,96,-1.8,-861.5,358.1,569.1
27,1993,4538,55035,174564,4030,20864,19596,3263,8.70%,15.10%,0.138,0.294,0.265,0.332,0.403,0.327,,97,0,-743.2,208.7,532.3
28,1996,4534,55959,177261,4962,22831,21570,3240,9.10%,16.50%,0.157,0.301,0.27,0.34,0.427,0.335,,97,0.2,-780.1,301.2,531.8
29,1997,4532,58107,175541,4640,21604,20468,3308,8.90%,17.10%,0.152,0.301,0.267,0.337,0.419,0.332,,96,0.4,-798.3,338.3,531.7
30,1983,4218,50955,160615,3301,18170,17067,3325,8.40%,13.50%,0.128,0.285,0.261,0.325,0.389,0.319,,97,0.4,-634.5,151.9,494.8
31,1992,4212,50937,160545,3038,17341,16284,3264,8.50%,14.70%,0.122,0.285,0.256,0.322,0.377,0.317,,97,0,-532.6,111.3,494.5
32,1982,4214,50473,161104,3379,18110,17019,3176,8.30%,13.20%,0.128,0.284,0.261,0.324,0.389,0.318,,97,0,-591.2,103.1,494.4
33,1990,4210,51345,160316,3317,17919,16804,3290,8.60%,14.90%,0.128,0.287,0.258,0.325,0.385,0.319,,97,0.4,-637.5,71.2,494.3
34,1989,4212,50628,160033,3083,17405,16229,3115,8.50%,14.80%,0.121,0.283,0.254,0.32,0.375,0.313,,97,-0.2,-561.5,63.6,494.3
35,1980,4210,51112,161210,3087,18053,16928,3294,8.20%,12.50%,0.123,0.287,0.265,0.326,0.388,0.32,,97,0.4,-557.8,70.8,494.1
36,1991,4208,51796,160746,3383,18127,17048,3120,8.70%,15.20%,0.129,0.285,0.256,0.323,0.385,0.318,,97,0,-519.7,89.9,494
37,1984,4210,51802,160566,3258,17921,16778,3032,8.30%,14.00%,0.125,0.286,0.26,0.323,0.385,0.317,,97,0.4,-596.8,129.4,494
38,1987,4210,51173,161922,4458,19883,18713,3585,8.90%,15.50%,0.152,0.289,0.263,0.331,0.415,0.326,,97,0,-713.6,173.4,493.8
39,1978,4204,50274,159192,2956,17251,16098,3004,8.50%,12.60%,0.121,0.28,0.258,0.323,0.379,0.318,,97,0.4,-604.5,71.5,493.7
40,1986,4206,51110,160858,3813,18545,17396,3312,8.80%,15.40%,0.137,0.286,0.258,0.326,0.395,0.32,,97,0,-640.3,146.2,493.5
41,1985,4206,51212,160320,3602,18216,17129,3097,8.60%,14.00%,0.134,0.281,0.257,0.323,0.391,0.317,,97,0,-603.2,121.6,493.4
42,1977,4206,50773,161547,3644,18803,17595,3016,8.50%,13.40%,0.137,0.287,0.264,0.329,0.401,0.324,,97,-0.6,-604.4,89.9,493.4
43,1988,4200,49903,159380,3180,17380,16217,3301,8.10%,14.70%,0.123,0.282,0.254,0.318,0.378,0.312,,97,0,-600.7,123.7,492.9
44,1979,4196,50044,160378,3433,18713,17558,2982,8.50%,12.50%,0.132,0.286,0.265,0.33,0.397,0.324,,97,0.2,-637.8,109,492.4
45,1995,4034,49777,156703,4081,19554,18436,2932,9.10%,16.20%,0.15,0.298,0.267,0.338,0.417,0.333,,96,0.2,-716.1,228.4,473.2
46,1974,3890,47228,148855,2649,16046,14858,2489,8.70%,13.10%,0.112,0.282,0.257,0.324,0.369,0.318,,97,1,-535.6,81,456.6
47,1969,3892,49929,148181,3119,15850,14662,1850,9.10%,15.20%,0.121,0.276,0.248,0.32,0.369,0.313,,93,0,-1244,837,456.4
48,1973,3886,46316,148777,3102,16376,15254,2034,8.80%,13.70%,0.122,0.281,0.257,0.325,0.379,0.319,,96,0,-618,132,456.1
49,1970,3888,50415,149312,3429,16880,15762,1908,9.20%,15.00%,0.131,0.281,0.254,0.326,0.385,0.319,,93,0,-1288.1,840.8,456.1
50,1971,3876,48809,146690,2863,15073,14077,1765,8.50%,14.30%,0.116,0.276,0.249,0.317,0.365,0.31,,93,0,-1150.2,694.6,455.4
51,1976,3878,46634,147598,2235,15492,14363,3054,8.40%,12.70%,0.106,0.281,0.255,0.32,0.361,0.315,,97,0.4,-567,84.8,455.1
