league_stats_id,yearid,TG,W,L,G,PA,HR,R,RBI,SB,BB_percent,K_percent,ISO,BABIP,AVG,OBP,SLG,wOBA,wOBA_scale,GDP,xwOBA,wRC_plus,BsR,Off,Def,WAR,IP,runSB,runCS,b_1B,b_2B,b_3B,BB,IBB,HBP,CS,AB,SO,SF
17,2024,4858,2429,2429,71274,182449,5453,21343,20379,3617,8.20%,22.60%,0.156,0.291,0.243,0.312,0.399,0.31,1.242,3227,,100,1.8,19.8,-581.6,569.8,43116.1,0.2,-0.405,25902,7771,697,14929,509,2020,961,163687,41197,1261
10,2023,4860,2430,2430,71144,184104,5868,22432,21512,3503,8.60%,22.70%,0.166,0.297,0.248,0.32,0.414,0.318,1.204,3466,,100,5.5,23.6,-597.1,570,43087.1,0.2,-0.422,26031,8228,712,15819,474,2112,866,164418,41843,1230
8,2022,4860,2430,2430,70911,182052,5215,20817,19888,2486,8.20%,22.40%,0.152,0.29,0.243,0.312,0.395,0.31,1.259,3392,,100,-2,14.6,-596.6,570,43075.1,0.2,-0.397,25877,7940,643,14853,475,2046,811,163465,40812,1224
18,2021,4858,2429,2429,71621,181817,5944,22010,20993,2213,8.70%,23.20%,0.167,0.292,0.244,0.317,0.411,0.314,1.209,3328,,97,-2.8,-768.3,286.4,569.8,42615,0.2,-0.419,25006,7863,671,15794,703,2112,711,161941,42145,1143
134,2020,1796,898,898,26721,66506,2304,8344,7978,885,9.20%,23.40%,0.173,0.292,0.245,0.322,0.418,0.32,1.185,1237,,100,-6.9,-7.2,-214.6,210.6,15468.2,0.2,-0.435,9071,2823,241,6092,202,821,292,59030,15586,402
19,2019,4858,2429,2429,71684,186516,6776,23467,22471,2280,8.50%,23.00%,0.183,0.298,0.252,0.323,0.435,0.32,1.157,3463,,97,-5.3,-823.1,341.7,569.8,43423.1,0.2,-0.435,25947,8531,785,15895,753,1984,832,166651,42823,1150
4,2018,4862,2431,2431,71590,185139,5585,21630,20606,2474,8.50%,22.30%,0.161,0.296,0.248,0.318,0.409,0.315,1.226,3457,,97,-1.6,-783.9,332.1,570.2,43489,0.2,-0.407,26322,8264,847,15686,929,1922,958,165432,41207,1235
14,2017,4860,2430,2430,70745,185295,6105,22582,21558,2527,8.50%,21.60%,0.171,0.3,0.255,0.324,0.426,0.321,1.185,3804,,96,-6.4,-858.9,338.8,570,43257,0.2,-0.423,26918,8397,795,15829,970,1763,934,165567,40104,1168
25,2016,4856,2427,2427,70449,184577,5610,21744,20746,2537,8.20%,21.10%,0.162,0.3,0.255,0.322,0.417,0.318,1.212,3721,,97,-5.2,-775.6,286.2,569.5,43306.1,0.2,-0.41,27538,8255,873,15088,932,1651,1001,165561,38982,1214
21,2015,4858,2429,2429,70535,183627,4909,20647,19650,2505,7.70%,20.40%,0.15,0.299,0.254,0.317,0.405,0.313,1.251,3740,,97,-0.7,-751.2,282.7,569.8,43407.2,0.2,-0.392,28016,8242,939,14073,951,1602,1064,165488,37446,1232
